system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00,p99_00,p99_50,p99_90,p99_95,p99_99
skytap,write,1,128K,55.482,2.25,1,44,1.2,443,0,0,0,0,0,27,70,1,0,0,0,0,0,0,0,0,2.32,9.152,10.176,18.304,20.096,40.704
skytap,write,4,1K,7.649,0.508,0.2,149,0.6,7833,0,0,0,76,22,0,0,0,0,0,0,0,0,0,0,0,0.692,1.096,2.288,9.28,10.176,18.048
skytap,write,4,8K,39.049,0.797,0.3,285,1.5,4998,0,0,0,9,86,3,0,0,0,0,0,0,0,0,0,0,0.98,2.672,9.024,16.32,19.584,38.656
skytap,write,4,128K,92.992,5.37,1,49,1.9,743,0,0,0,0,0,0,0,96,2,0,0,0,0,0,0,0,6.688,13.248,17.792,24.192,40.704,47.872
skytap,write,16,1K,24.667,0.628,0.2,249,0.8,25259,0,0,0,27,70,1,0,0,0,0,0,0,0,0,0,0,0.852,1.928,3.824,10.176,11.2,20.608
skytap,write,16,8K,89.265,1.388,0.3,677,1.9,11425,0,0,0,0,4,92,1,1,0,0,0,0,0,0,0,0,1.56,7.136,9.92,15.808,19.84,40.192
skytap,write,16,128K,97.621,20.27,1,69,3,780,0,0,0,0,0,0,0,1,29,69,0,0,0,0,0,0,22.656,32.128,35.584,42.752,48.896,52.992
ssd,read,1,8K,35.647,0.217,0.2,8,0.1,4562,0,0,92,7,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.438,0.506,0.572,0.756,4.08
ssd,read,1,32K,98.439,0.315,0.1,22,0.2,3150,0,0,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0.49,0.604,0.772,0.948,3.632
ssd,read,1,128K,223.127,0.556,0.3,40,0.3,1785,0,0,0,21,78,0,0,0,0,0,0,0,0,0,0,0,0.652,0.692,0.748,1.112,1.816,11.328
ssd,read,1,1M,388.821,2.567,0.3,16,0.7,388,0,0,0,4,0,1,93,0,0,0,0,0,0,0,0,0,2.768,3.376,4.832,10.432,15.424,16.192
